Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
13697071,SAN ANTONIO POLICE DEPARTMENT,SAPD14036453,BEXAR,2014-02-17,1,29.52109324,-98.39561142,1,4 - PEDESTRIAN
13702174,SAN ANTONIO POLICE DEPARTMENT,SAPD14037187,BEXAR,2014-02-18,1,29.36885646,-98.60892572,1,4 - PEDESTRIAN
13725080,SAN ANTONIO POLICE DEPARTMENT,SAPD14050382,BEXAR,2014-03-07,1,29.3341051,-98.48931007,1,4 - PEDESTRIAN
13952300,CONVERSE POLICE DEPARTMENT,1400855,BEXAR,2014-03-19,1,No Data,No Data,1,4 - PEDESTRIAN
13759327,SAN ANTONIO POLICE DEPARTMENT,SAPD14060235,BEXAR,2014-03-20,1,29.31019126,-98.47403206,1,4 - PEDESTRIAN
13755147,SAN ANTONIO POLICE DEPARTMENT,SAPD14061165,BEXAR,2014-03-22,1,29.35593814,-98.44852477,1,4 - PEDESTRIAN
13759321,SAN ANTONIO POLICE DEPARTMENT,SAPD14063352,BEXAR,2014-03-24,1,29.51563713,-98.43830689,1,4 - PEDESTRIAN
13770393,SAN ANTONIO POLICE DEPARTMENT,SAPD14069898,BEXAR,2014-04-02,1,29.57784776,-98.38800952,1,4 - PEDESTRIAN
13769882,SAN ANTONIO POLICE DEPARTMENT,SAPD14071026,BEXAR,2014-04-03,1,29.43723133,-98.50436353,1,4 - PEDESTRIAN
13788099,SAN ANTONIO POLICE DEPARTMENT,SAPD14079794,BEXAR,2014-04-14,1,29.56115012,-98.36115584,1,4 - PEDESTRIAN
13868132,UNIVERSAL CITY POLICE DEPARTMENT,1400007442,BEXAR,2014-04-15,1,No Data,No Data,1,4 - PEDESTRIAN
13802908,SAN ANTONIO POLICE DEPARTMENT,SAPD14088283,BEXAR,2014-04-25,1,No Data,No Data,1,4 - PEDESTRIAN
13827956,BEXAR COUNTY LAW ENFORCEMENT,2014-BCSO-018239,BEXAR,2014-05-02,1,29.14078715,-98.48390956,1,4 - PEDESTRIAN
13818857,SAN ANTONIO POLICE DEPARTMENT,SAPD14095665,BEXAR,2014-05-04,1,No Data,No Data,1,4 - PEDESTRIAN
13839027,SAN ANTONIO POLICE DEPARTMENT,SAPD14103341,BEXAR,2014-05-13,1,29.48277462,-98.71032318,1,4 - PEDESTRIAN
13834192,SAN ANTONIO POLICE DEPARTMENT,SAPD14104184,BEXAR,2014-05-15,1,29.46579629,-98.61926513,1,4 - PEDESTRIAN
13848911,SAN ANTONIO POLICE DEPARTMENT,SAPD14110866,BEXAR,2014-05-23,1,29.42912153,-98.41478211,1,4 - PEDESTRIAN
13871256,SAN ANTONIO POLICE DEPARTMENT,SAPD14118102,BEXAR,2014-05-31,1,29.47713964,-98.36794413,1,4 - PEDESTRIAN
13868515,SAN ANTONIO POLICE DEPARTMENT,SAPD14119055,BEXAR,2014-06-02,1,29.31563687,-98.5965038,1,4 - PEDESTRIAN
13886235,SAN ANTONIO POLICE DEPARTMENT,SAPD14130331,BEXAR,2014-06-16,1,29.47684284,-98.40459226,1,4 - PEDESTRIAN
13892301,SAN ANTONIO POLICE DEPARTMENT,SAPD14132018,BEXAR,2014-06-18,1,29.41150329,-98.51072606,1,4 - PEDESTRIAN
